# Heisenberg S=1/2 chain with anisotropy 
# L=20, J=1.0 , Delta=1.5, Delta_{2}  = 0.00, deltaJ = 0.00, deltah = 0.00-0.50
# Diffusion constant D vs staggered field deltah 
# Staggered field deltah, Diffusion constant D

    0.0000000000000000    0.5334587272083618
    0.0100000000000000    0.5348344602698977
    0.0200000000000000    0.5313849111334799
    0.0300000000000000    0.5240483395685793
    0.0400000000000000    0.5141078635894494
    0.0500000000000000    0.5003004449169636
    0.1000000000000000    0.4415394361562747
    0.1500000000000000    0.3809014924946943
    0.2000000000000000    0.3320160216024906
    0.2500000000000000    0.2890426081130011
    0.3000000000000000    0.2541858842474513
    0.3500000000000000    0.2273962165986048
    0.4000000000000000    0.2060688414662671
    0.4500000000000000    0.1858508281439166
    0.5000000000000000    0.1691555948564534
