# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.0, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)


0.001457054087641 0.006857083475094
0.001732739087966 0.008316371949601
0.002060585651853 0.009858908466899
0.002450463118256 0.011674372943075
0.002914108175282 0.013842845827815
0.003465478175933 0.016170902176444
0.004121171303706 0.018719289454727
0.004900926236512 0.021546788615938
0.005828216350564 0.024641812474534
0.006930956351866 0.027956069162758
0.008242342607412 0.031626472283623
0.009801852473025 0.035460989750378
0.011656432701128 0.039685599269489
0.013861912703732 0.044232897812436
0.016484685214825 0.049041898361989
0.019603704946050 0.054103069790446
0.023312865402256 0.059332043119329
0.027723825407464 0.064926692132491
0.032969370429649 0.070792836380042
0.039207409892099 0.076829341872563
0.046625730804512 0.083065668352503
0.055447650814928 0.089574732099733
0.065938740859298 0.096315382595378
0.078414819784198 0.103277876452685
0.093251461609025 0.110588754563305
0.110895301629855 0.118336814823154
0.131877481718597 0.126441516144524
0.156829639568396 0.134822982085484
0.186502923218049 0.143630691005691
0.221790603259710 0.153127148074722
0.263754963437193 0.163688933037199
0.313659279136793 0.175367752972254
0.373005846436099 0.188887869033904
0.443581206519421 0.205106171444627
0.527509926874387 0.226185387554135
0.627318558273586 0.256485405414705
0.746011692872197 0.305707936396138
0.887162413038842 0.376103197208196
1.055019853748773 0.474015387443960
1.254637116547171 0.595416772259841
1.492023385744394 0.694488185340282
1.774324826077683 0.786708835544476
2.110039707497547 0.862825994586120
2.509274233094342 0.920001555283497
2.984046771488789 0.960377915763687
3.548649652155366 0.981422969456894
4.220079414995094 0.987809762196437
5.018548466188685 0.989080117499902
5.968093542977577 0.989175065787326
7.097299304310733 0.989176208156101
