# Random field Heisenberg chain (noninteracting)
# L=16, J=1, Delta=0, W=1.5, h_i in [-W,W]
# Integrated spectral function I_0(omega)
# omega I_0(omega)

0.00117143 0.195733995801707
0.00139307 0.195733995801707
0.00165665 0.195733995801707
0.00197009 0.195733995801707
0.00234285 0.195733995801707
0.00278613 0.195733995801707
0.00331329 0.195733995801707
0.00394019 0.195733995801707
0.0046857 0.195733995801707
0.00557227 0.195733995801707
0.00662658 0.195733995801707
0.00788038 0.195733995801707
0.0093714 0.195733995801707
0.0111445 0.195733995801707
0.0132532 0.195733995801707
0.0157608 0.195733995801707
0.0187428 0.203553940720247
0.0222891 0.203553940720247
0.0265063 0.203553940720247
0.0315215 0.203553940720247
0.0374856 0.203553940720247
0.0445781 0.203553940720247
0.0530126 0.203553940720247
0.063043 0.203784260271762
0.0749712 0.203784260271762
0.0891563 0.206053455401400
0.106025 0.206053455401400
0.126086 0.220049708309382
0.149942 0.229102494017566
0.178313 0.236386488762627
0.212051 0.255017564818610
0.252172 0.255751772259991
0.299885 0.257506359262672
0.356625 0.258362170060454
0.424101 0.279899657315131
0.504344 0.283064474406269
0.59977 0.284066341365400
0.71325 0.304618912836275
0.848202 0.446657824595806
1.00869 0.549475122345412
1.19954 0.579987921570903
1.4265 0.662490510354758
1.6964 0.763466664660463
2.01738 0.821915146058705
2.39908 0.902888918205925
2.853 0.982437903746355
3.39281 0.999941862266235
4.03475 1.000000000000000
4.79816 1.000000000000000
5.706 1.000000000000000
