# Random field Heisenberg chain (noninteracting)
# L=16, J=1, Delta=0, W=3.0, h_i in [-W,W]
# Integrated spectral function I_0(omega)
# omega I_0(omega)

0.00173013 0.337015079778633
0.00205749 0.337015079778633
0.00244678 0.337015079778633
0.00290973 0.337015079778633
0.00346027 0.337015079778633
0.00411498 0.337015079778633
0.00489356 0.337015079778633
0.00581946 0.337015079778633
0.00692054 0.337015079778633
0.00822995 0.337015079778633
0.00978712 0.337015079778633
0.0116389 0.337015079778633
0.0138411 0.337015079778633
0.0164599 0.337015079778633
0.0195742 0.337015079778633
0.0232778 0.337015079778633
0.0276822 0.337033126244495
0.0329198 0.337033126244495
0.0391485 0.337033126244495
0.0465556 0.337033126244495
0.0553643 0.337033126244495
0.0658396 0.337033126244495
0.0782969 0.337033126244495
0.0931113 0.337555969394294
0.110729 0.337555969394294
0.131679 0.337555969394294
0.156594 0.360513392399243
0.186223 0.360514116861201
0.221457 0.360514116861201
0.263358 0.364111298041707
0.313188 0.364367637724459
0.372445 0.368254752225336
0.442914 0.368254752529725
0.526717 0.368430790906154
0.626376 0.370122893229582
0.74489 0.372928683318710
0.885829 0.449514843942609
1.05343 0.627049559848347
1.25275 0.729632420553576
1.48978 0.732040664946211
1.77166 0.829769638310019
2.10687 0.875134712817808
2.5055 0.919509677243872
2.97956 0.952192912094415
3.54332 0.981844682414985
4.21374 0.985026752153940
5.011 0.991075838917891
5.95912 1.000000000000000
7.08663 1.000000000000000
8.42747 1.000000000000000
