# Random-field Heisenberg model
# L=26, J=1, Delta=1.0, W=3.0, R=0.9
# Conductivity sigma(omega)
# omega/J sigma(omega)

0.000000 0.001684
0.000050 0.001687
0.000100 0.001698
0.000150 0.001713
0.000200 0.001731
0.000250 0.001749
0.000300 0.001765
0.000350 0.001780
0.000400 0.001792
0.000450 0.001802
0.000500 0.001810
0.000550 0.001815
0.000600 0.001822
0.000650 0.001832
0.000700 0.001847
0.000750 0.001870
0.000800 0.001897
0.000850 0.001927
0.000900 0.001957
0.000950 0.001984
0.001000 0.002006
0.001050 0.002024
0.001100 0.002037
0.001150 0.002046
0.001200 0.002052
0.001250 0.002057
0.001300 0.002062
0.001350 0.002072
0.001400 0.002086
0.001450 0.002105
0.001500 0.002126
0.001550 0.002147
0.001600 0.002164
0.001650 0.002179
0.001700 0.002191
0.001750 0.002200
0.001800 0.002208
0.001850 0.002213
0.001900 0.002218
0.001950 0.002225
0.002000 0.002239
0.002050 0.002262
0.002100 0.002295
0.002150 0.002336
0.002200 0.002381
0.002250 0.002425
0.002300 0.002464
0.002350 0.002494
0.002400 0.002516
0.002450 0.002528
0.002500 0.002533
0.002550 0.002533
0.002600 0.002534
0.002650 0.002541
0.002700 0.002557
0.002750 0.002584
0.002800 0.002618
0.002850 0.002656
0.002900 0.002692
0.002950 0.002721
0.003000 0.002742
0.003050 0.002754
0.003100 0.002756
0.003150 0.002750
0.003200 0.002738
0.003250 0.002722
0.003300 0.002709
0.003350 0.002702
0.003400 0.002705
0.003450 0.002715
0.003500 0.002731
0.003550 0.002747
0.003600 0.002759
0.003650 0.002767
0.003700 0.002769
0.003750 0.002768
0.003800 0.002761
0.003850 0.002752
0.003900 0.002743
0.003950 0.002738
0.004000 0.002742
0.004050 0.002757
0.004100 0.002783
0.004150 0.002817
0.004200 0.002852
0.004250 0.002883
0.004300 0.002907
0.004350 0.002922
0.004400 0.002927
0.004450 0.002924
0.004500 0.002915
0.004550 0.002903
0.004600 0.002892
0.004650 0.002888
0.004700 0.002892
0.004750 0.002905
0.004800 0.002924
0.004850 0.002944
0.004900 0.002961
0.004950 0.002973
0.005000 0.002979
0.005050 0.002980
0.005100 0.002976
0.005150 0.002967
0.005200 0.002954
0.005250 0.002940
0.005300 0.002932
0.005350 0.002932
