# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=3, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)

0.002129041121151 0.018201036553718
0.002531870849407 0.019401693365927
0.003010918828382 0.020911094645125
0.003580606093408 0.022209085379003
0.004258082242303 0.023797654847772
0.005063741698813 0.025229528160097
0.006021837656765 0.026680239915396
0.007161212186816 0.028180243823184
0.008516164484605 0.029614796260688
0.010127483397626 0.031234785679270
0.012043675313529 0.033068222295171
0.014322424373631 0.034894015077684
0.017032328969211 0.036439778779333
0.020254966795252 0.038161518290891
0.024087350627058 0.039820370536342
0.028644848747263 0.041807337605678
0.034064657938422 0.043745005381628
0.040509933590505 0.045556141436130
0.048174701254116 0.047414503975799
0.057289697494525 0.049617426082069
0.068129315876843 0.051654367957944
0.081019867181010 0.053372426038645
0.096349402508232 0.054782722940366
0.114579394989051 0.056314431583443
0.136258631753686 0.057577829187572
0.162039734362019 0.058955004339989
0.192698805016464 0.061890495904883
0.229158789978101 0.064099168752166
0.272517263507372 0.066312115213446
0.324079468724038 0.070377877702522
0.385397610032928 0.074798257310518
0.458317579956202 0.079309108594225
0.545034527014744 0.083337506913459
0.648158937448077 0.105352920391333
0.770795220065857 0.124220919953350
0.916635159912405 0.162310882073000
1.090069054029489 0.283479317581814
1.296317874896153 0.360788730200135
1.541590440131713 0.420366772082793
1.833270319824809 0.501517640650535
2.180138108058977 0.561412041687514
2.592635749792307 0.588339133516135
3.083180880263426 0.612381511152407
3.666540639649619 0.628657066761941
4.360276216117954 0.640310862340875
5.185271499584614 0.648925861595989
6.166361760526852 0.654028729445362
7.333081279299237 0.655381821121073
8.720552432235909 0.655520130173134
10.370542999169228 0.655520308990963
