# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=3, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)

0.002054303109334 0.017521157443786
0.002442991873992 0.018821744309493
0.002905223318445 0.020399045891829
0.003454912240967 0.021941194705055
0.004108606218668 0.023395199873818
0.004885983747985 0.025155846852280
0.005810446636891 0.026835746779335
0.006909824481934 0.028479388787774
0.008217212437336 0.030339108187037
0.009771967495969 0.032340108725042
0.011620893273782 0.034190712692707
0.013819648963869 0.036318634798383
0.016434424874673 0.038520709948156
0.019543934991938 0.040783981455442
0.023241786547564 0.043419198294781
0.027639297927737 0.046181878224844
0.032868849749345 0.048561102680909
0.039087869983877 0.050975768670484
0.046483573095127 0.053639103273386
0.055278595855475 0.056310670786711
0.065737699498690 0.059590065630966
0.078175739967753 0.062753681305726
0.092967146190255 0.066064930771985
0.110557191710949 0.070465084594070
0.131475398997381 0.075041355423687
0.156351479935507 0.083323168983731
0.185934292380510 0.089365597770738
0.221114383421898 0.095740991031108
0.262950797994761 0.103117597061390
0.312702959871013 0.111736101890499
0.371868584761019 0.121667534826409
0.442228766843796 0.134326761709742
0.525901595989522 0.142729180594804
0.625405919742026 0.155509922001825
0.743737169522038 0.174601878373613
0.884457533687593 0.234237394249682
1.051803191979044 0.342454034024058
1.250811839484053 0.418747342075735
1.487474339044077 0.504885977305227
1.768915067375186 0.564790702218243
2.103606383958089 0.605568508741778
2.501623678968105 0.639247287024902
2.974948678088154 0.662752189583536
3.537830134750372 0.678915708837542
4.207212767916178 0.695533047778908
5.003247357936210 0.710049830933365
5.949897356176308 0.716043701872453
7.075660269500744 0.716459459075261
8.414425535832356 0.716466995959822
10.006494715872421 0.716468146110757
