# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=5, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)

0.002974989727975 0.002947365970833
0.003537878951568 0.003111871932526
0.004207270821223 0.003276210695040
0.005003316395342 0.003455100457806
0.005949979455951 0.003679029661199
0.007075757903136 0.004181722363458
0.008414541642447 0.004513954846535
0.010006632790684 0.004910227986362
0.011899958911901 0.005295936685987
0.014151515806273 0.005580716804557
0.016829083284893 0.005838912902859
0.020013265581368 0.006397320449265
0.023799917823802 0.006777554945498
0.028303031612546 0.007042256293261
0.033658166569786 0.007215914103810
0.040026531162736 0.007422866006335
0.047599835647604 0.007639083140159
0.056606063225091 0.007837511523583
0.067316333139572 0.008005529684817
0.080053062325473 0.008218351586496
0.095199671295208 0.008502047087741
0.113212126450182 0.008879779543077
0.134632666279144 0.009435699139696
0.160106124650945 0.010505367136229
0.190399342590417 0.010752428396233
0.226424252900364 0.010920019694650
0.269265332558289 0.011356938278400
0.320212249301891 0.012018650695195
0.380798685180834 0.014078206084513
0.452848505800728 0.017026479972445
0.538530665116577 0.021355725554210
0.640424498603781 0.029028569666099
0.761597370361667 0.042334969227729
0.905697011601457 0.058447870896916
1.077061330233155 0.160907230366452
1.280848997207563 0.235250586786906
1.523194740723334 0.283237000545529
1.811394023202914 0.339889165229480
2.154122660466309 0.378071535285133
2.561697994415125 0.393217595982458
3.046389481446668 0.406325402377227
3.622788046405828 0.422991557835642
4.308245320932619 0.435380837423647
5.123395988830251 0.447186579226705
6.092778962893337 0.452682474271230
7.245576092811656 0.458356625850618
8.616490641865237 0.460651359237829
10.246791977660502 0.460702211871493
12.185557925786673 0.460702725513774
14.491152185623312 0.460702765259092
