# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)

0.001506158704597 0.041033793663903
0.001791134647831 0.046350414621135
0.002130030067128 0.051666339928147
0.002533046910998 0.057160776747543
0.003012317409195 0.063054030004212
0.003582269295661 0.068868522536528
0.004260060134256 0.074634439262460
0.005066093821997 0.081065297465083
0.006024634818390 0.086864248923037
0.007164538591322 0.092824155292231
0.008520120268512 0.098946486931032
0.010132187643993 0.104883499061344
0.012049269636779 0.110603498977283
0.014329077182644 0.116309912646466
0.017040240537024 0.122150821716580
0.020264375287986 0.127869776363052
0.024098539273559 0.133602828788046
0.028658154365289 0.139320331585840
0.034080481074048 0.144776802271306
0.040528750575973 0.150315637318500
0.048197078547118 0.155903516710107
0.057316308730577 0.161650347814018
0.068160962148095 0.167733554263624
0.081057501151946 0.174121368822849
0.096394157094235 0.180551628864272
0.114632617461155 0.186960910268431
0.136321924296190 0.193886995545772
0.162115002303892 0.200492348339862
0.192788314188470 0.206370335561331
0.229265234922309 0.211777540915515
0.272643848592380 0.216859058066340
0.324230004607783 0.221821428737213
0.385576628376941 0.227410796005427
0.458530469844618 0.236229355616596
0.545287697184761 0.248267303485006
0.648460009215566 0.267508029862485
0.771153256753882 0.310289271394427
0.917060939689236 0.366013678992262
1.090575394369521 0.411415763658804
1.296920018431133 0.458297109407087
1.542306513507763 0.542542692482044
1.834121879378472 0.621652393255784
2.181150788739042 0.698492889415967
2.593840036862266 0.754410553336565
3.084613027015527 0.796805702880682
3.668243758756945 0.819428274287221
4.362301577478084 0.829234478507877
5.187680073724532 0.831088128704140
6.169226054031054 0.831286303746193
7.336487517513890 0.831289438475525
